id,year,month,day,session,speaker,title,hyperlink
345,1975,April,Sunday,M,J. Thomas Fyans,Make Haste to Obey,https://www.churchofjesuschrist.org/study/general-conference/1975/04/make-haste-to-obey
346,1975,April,Sunday,M,Marvin J. Ashton,The Time Is Now,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-time-is-now
347,1975,April,Sunday,M,Marion G. Romney,Easter Thoughts,https://www.churchofjesuschrist.org/study/general-conference/1975/04/easter-thoughts
348,1975,April,General,P,Spencer W. Kimball,To Bear the Priesthood Worthily,https://www.churchofjesuschrist.org/study/general-conference/1975/04/to-bear-the-priesthood-worthily
349,1975,April,General,P,N. Eldon Tanner,Success Is Gauged by Self-Mastery,https://www.churchofjesuschrist.org/study/general-conference/1975/04/success-is-gauged-by-self-mastery
350,1975,April,General,P,Marion G. Romney,We Need Men of Courage,https://www.churchofjesuschrist.org/study/general-conference/1975/04/we-need-men-of-courage
351,1975,April,General,P,Theodore M. Burton,Salvation for the Dead—A Missionary Activity,https://www.churchofjesuschrist.org/study/general-conference/1975/04/salvation-for-the-dead-a-missionary-activity
352,1975,April,General,P,Vaughn J. Featherstone,A Self-Inflicted Purging,https://www.churchofjesuschrist.org/study/general-conference/1975/04/a-self-inflicted-purging
353,1975,April,Saturday,A,Ezra Taft Benson,The Book of Mormon Is the Word of God,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-book-of-mormon-is-the-word-of-god
354,1975,April,Saturday,A,Paul H. Dunn,A Time for Every Purpose,https://www.churchofjesuschrist.org/study/general-conference/1975/04/a-time-for-every-purpose
355,1975,April,Saturday,A,Franklin D. Richards,The Message of Easter,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-message-of-easter
356,1975,April,Saturday,A,William H. Bennett,A Time to Prepare,https://www.churchofjesuschrist.org/study/general-conference/1975/04/a-time-to-prepare
357,1975,April,Saturday,A,Hartman Rector Jr.,The Roots of Mormonism,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-roots-of-mormonism
358,1975,April,Saturday,A,H. Burke Peterson,Help for Parents,https://www.churchofjesuschrist.org/study/general-conference/1975/04/help-for-parents
359,1975,April,Saturday,A,Bruce R. McConkie,"Obedience, Consecration, and Sacrifice",https://www.churchofjesuschrist.org/study/general-conference/1975/04/obedience-consecration-and-sacrifice
360,1975,April,Saturday,M,Mark E. Petersen,The Sabbath Day,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-sabbath-day
361,1975,April,Saturday,M,Bernard P. Brockbank,Today Millions Are Waiting,https://www.churchofjesuschrist.org/study/general-conference/1975/04/today-millions-are-waiting
362,1975,April,Saturday,M,Robert D. Hales,A Question of Free Agency,https://www.churchofjesuschrist.org/study/general-conference/1975/04/a-question-of-free-agency
363,1975,April,Saturday,M,Sterling W. Sill,Birth,https://www.churchofjesuschrist.org/study/general-conference/1975/04/birth
364,1975,April,Saturday,M,William Grant Bangerter,The People Who Influence Us,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-people-who-influence-us
365,1975,April,Saturday,M,Howard W. Hunter,Faith—The First Step,https://www.churchofjesuschrist.org/study/general-conference/1975/04/faith-the-first-step
366,1975,April,Saturday,M,N. Eldon Tanner,Christ in America,https://www.churchofjesuschrist.org/study/general-conference/1975/04/christ-in-america
367,1975,April,Friday,A,L. Tom Perry,A Tribute,https://www.churchofjesuschrist.org/study/general-conference/1975/04/a-tribute
368,1975,April,Friday,A,Joseph Anderson,The Road to Happiness,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-road-to-happiness
369,1975,April,Friday,A,James E. Faust,The Sanctity of Life,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-sanctity-of-life
370,1975,April,Friday,A,Loren C. Dunn,Faithful Laborers,https://www.churchofjesuschrist.org/study/general-conference/1975/04/faithful-laborers
371,1975,April,Friday,A,ElRay L. Christiansen,The Laws of God Are Blessings,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-laws-of-god-are-blessings
372,1975,April,Friday,A,Delbert L. Stapley,Using Our Free Agency,https://www.churchofjesuschrist.org/study/general-conference/1975/04/using-our-free-agency
373,1975,April,Friday,M,Thomas S. Monson,The Way Home,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-way-home
374,1975,April,Friday,M,Marion D. Hanks,Trust in the Lord,https://www.churchofjesuschrist.org/study/general-conference/1975/04/trust-in-the-lord
375,1975,April,Friday,M,David B. Haight,Feed the Flock,https://www.churchofjesuschrist.org/study/general-conference/1975/04/feed-the-flock
376,1975,April,Friday,M,O. Leslie Stone,Testimony,https://www.churchofjesuschrist.org/study/general-conference/1975/04/testimony
377,1975,April,Friday,M,Spencer W. Kimball,"“Why Call Ye Me Lord, Lord, and Do Not the Things Which I Say?”",https://www.churchofjesuschrist.org/study/general-conference/1975/04/why-call-me-lord-lord-and-do-not-the-things-which-i-say
378,1975,October,General,Wel,Spencer W. Kimball,There Is Still Much to Do,https://www.churchofjesuschrist.org/study/general-conference/1975/10/there-is-still-much-to-do
379,1975,October,General,Wel,Marion G. Romney,Welfare Services,https://www.churchofjesuschrist.org/study/general-conference/1975/10/welfare-services
380,1975,October,General,Wel,Howard W. Hunter,Prepare for Honorable Employment,https://www.churchofjesuschrist.org/study/general-conference/1975/10/prepare-for-honorable-employment
381,1975,October,General,Wel,Barbara B. Smith,Relief Society’s Role in Welfare Services,https://www.churchofjesuschrist.org/study/general-conference/1975/10/relief-societys-role-in-welfare-services
382,1975,October,General,Wel,Vaughn J. Featherstone,The Developing Welfare Services Department,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-developing-welfare-services-department
383,1975,October,General,Wel,H. Burke Peterson,The Welfare Production-Distribution Department,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-welfare-production-distribution-department
384,1975,October,General,Wel,Victor L. Brown,An Overview of Church Welfare Services,https://www.churchofjesuschrist.org/study/general-conference/1975/10/an-overview-of-church-welfare-services
385,1975,October,Sunday,A,Spencer W. Kimball,Spoken from Their Hearts,https://www.churchofjesuschrist.org/study/general-conference/1975/10/spoken-from-their-hearts
386,1975,October,Sunday,A,Marvin J. Ashton,Love Takes Time,https://www.churchofjesuschrist.org/study/general-conference/1975/10/love-takes-time
387,1975,October,Sunday,A,Eldred G. Smith,Family Research,https://www.churchofjesuschrist.org/study/general-conference/1975/10/family-research
388,1975,October,Sunday,A,Joseph B. Wirthlin,The Language of the Spirit,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-language-of-the-spirit
389,1975,October,Sunday,A,Rex D. Pinegar,A Call to Arms,https://www.churchofjesuschrist.org/study/general-conference/1975/10/a-call-to-arms
390,1975,October,Sunday,A,George P. Lee,My Heritage Is Choice,https://www.churchofjesuschrist.org/study/general-conference/1975/10/my-heritage-is-choice
391,1975,October,Sunday,A,Boyd K. Packer,The Redemption of the Dead,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-redemption-of-the-dead
392,1975,October,Sunday,M,Howard W. Hunter,The Tabernacle,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-tabernacle
393,1975,October,Sunday,M,Robert D. Hales,We Can’t Do It Alone,https://www.churchofjesuschrist.org/study/general-conference/1975/10/we-can-t-do-it-alone
394,1975,October,Sunday,M,Adney Y. Komatsu,Faith and Works in the Far East,https://www.churchofjesuschrist.org/study/general-conference/1975/10/faith-and-works-in-the-far-east
395,1975,October,Sunday,M,L. Tom Perry,For the Time Will Come When They Will Not Endure Sound Doctrine,https://www.churchofjesuschrist.org/study/general-conference/1975/10/for-the-time-will-come-when-they-will-not-endure-sound-doctrine
396,1975,October,Sunday,M,N. Eldon Tanner,The Laws of God,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-laws-of-god
397,1975,October,General,P,Spencer W. Kimball,The Privilege of Holding the Priesthood,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-privilege-of-holding-the-priesthood
398,1975,October,General,P,N. Eldon Tanner,For They Loved the Praise of Men More Than the Praise of God,https://www.churchofjesuschrist.org/study/general-conference/1975/10/for-they-loved-the-praise-of-men-more-than-the-praise-of-god
399,1975,October,General,P,Marion G. Romney,According to the Covenants,https://www.churchofjesuschrist.org/study/general-conference/1975/10/according-to-the-covenants
400,1975,October,General,P,William Grant Bangerter,The Power of the Priesthood,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-power-of-the-priesthood
401,1975,October,General,P,Victor L. Brown,The Vision of the Aaronic Priesthood,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-vision-of-the-aaronic-priesthood
402,1975,October,Saturday,A,Mark E. Petersen,“Hear Ye Him!”,https://www.churchofjesuschrist.org/study/general-conference/1975/10/hear-ye-him
403,1975,October,Saturday,A,Henry D. Taylor,Immanuel: God With Us,https://www.churchofjesuschrist.org/study/general-conference/1975/10/immanuel-god-with-us
404,1975,October,Saturday,A,David B. Haight,“Why Can’t We?”,https://www.churchofjesuschrist.org/study/general-conference/1975/10/why-can-t-we
405,1975,October,Saturday,A,William R. Bradford,We Are Sent for the Last Time,https://www.churchofjesuschrist.org/study/general-conference/1975/10/we-are-sent-for-the-last-time
406,1975,October,Saturday,A,Charles A. Didier,My Gratitude,https://www.churchofjesuschrist.org/study/general-conference/1975/10/my-gratitude
407,1975,October,Saturday,A,James E. Faust,The Keys of the Kingdom,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-keys-of-the-kingdom
408,1975,October,Saturday,A,Paul H. Dunn,“Oh Beautiful for Patriot Dream”,https://www.churchofjesuschrist.org/study/general-conference/1975/10/oh-beautiful-for-patriot-dream
409,1975,October,Saturday,A,LeGrand Richards,Prophets and Prophecy,https://www.churchofjesuschrist.org/study/general-conference/1975/10/prophets-and-prophecy
410,1975,October,Saturday,M,Delbert L. Stapley,To Make a People Prepared for the Lord,https://www.churchofjesuschrist.org/study/general-conference/1975/10/to-make-a-people-prepared-for-the-lord
411,1975,October,Saturday,M,William H. Bennett,Covenants and Blessings,https://www.churchofjesuschrist.org/study/general-conference/1975/10/covenants-and-blessings
412,1975,October,Saturday,M,John H. Vandenberg,To Cleanse Our Souls,https://www.churchofjesuschrist.org/study/general-conference/1975/10/to-cleanse-our-souls
413,1975,October,Saturday,M,O. Leslie Stone,The Importance of Reputation,https://www.churchofjesuschrist.org/study/general-conference/1975/10/the-importance-of-reputation
